Pilote;VŽhicule;NoInscription;Etape 1;Etape 2;Etape 3;Etape 4;Etape 5;Etape 6;Etape 7;Etape 8;Etape 9;Etape 10
Adrien Tambay;Mazda 3;5;06:55:52;06:03:12;10:57:29;03:46:54;04:40:37;07:54:46;13:19:57;06:33:55;06:12:16;03:43:51
Andrea Dubourg;Renault Clio;2;07:44:39;05:53:07;12:03:48;03:19:42;04:45:34;07:13:08;13:20:41;06:24:16;06:50:24;03:08:38
Benjamin Riviere;Mini Countryman;6;06:37:41;06:13:40;11:04:15;04:16:47;04:36:32;08:04:47;13:34:42;06:33:37;05:59:13;03:21:44
Benoit Treluyer;Audi A1 Quattro;8;06:25:56;06:18:45;11:08:42;04:49:20;03:45:29;08:23:31;13:36:39;06:23:31;06:45:21;03:08:48
Berenice Demoustier;Audi A1 Quattro;20;05:36:19;05:42:47;10:22:48;05:01:45;03:05:17;09:50:02;14:33:10;06:33:42;05:56:21;03:45:38
Bertrand Balas;Peugeot 3008 II;14;06:21:34;05:51:12;10:59:01;05:44:33;04:28:36;09:04:27;13:53:37;06:30:41;07:04:39;03:45:11
Christian Beroujon;BMW M2;11;07:15:17;06:27:54;10:26:03;04:39:30;04:24:07;08:26:01;13:58:38;06:35:57;06:23:51;03:01:24
Christophe Jouet;Renault Clio;15;06:06:50;05:50:45;11:09:32;06:07:07;04:04:13;08:44:00;14:09:09;06:30:34;06:44:48;04:12:16
Didier Thoral;Mazda 3;17;06:16:34;05:52:45;11:29:24;05:32:20;03:40:00;08:56:31;14:39:14;07:02:19;06:04:25;04:02:31
Dominique Chianale;Mini Countryman;19;05:46:48;05:27:17;10:37:23;05:11:39;03:25:27;09:28:33;14:27:46;06:31:16;05:58:15;03:50:55
Eddy Benezet;BMW M2;22;05:53:15;05:51:01;10:55:42;05:38:23;03:35:49;09:38:14;14:18:55;06:57:55;05:55:40;04:24:44
Emmanuel Moinel;Renault Clio;16;06:28:28;05:30:01;11:06:49;05:54:09;03:49:18;08:37:37;14:10:01;06:39:20;06:27:46;04:29:09
Franck Lagorce;Mazda 3;4;06:49:03;05:46:44;11:19:56;03:23:21;04:33:17;07:38:22;13:32:54;06:18:01;06:23:04;03:47:12
Gerald Fontanel;BMW M2;10;06:56:11;06:05:35;10:55:31;04:39:20;04:25:58;08:34:24;13:37:37;06:34:25;06:25:32;03:07:52
Gilles Stievenart;BMW M2;12;06:47:41;05:59:37;10:19:11;05:05:42;04:41:26;08:13:48;14:01:03;06:30:16;06:45:58;03:31:11
Jacques Wolff;Mazda 3;18;05:57:50;05:37:32;11:00:26;05:14:06;03:26:31;09:04:31;14:17:55;06:48:16;05:39:36;04:16:08
Jean-Baptiste Dubourg;Renault Clio;1;07:56:12;06:12:30;12:20:12;03:11:45;05:11:23;07:23:11;13:23:12;06:11:43;07:18:02;02:39:56
Jean-Philippe Dayraut;BMW M2;9;06:26:24;06:21:21;11:24:16;04:31:06;04:01:17;08:30:39;13:25:38;06:27:12;06:51:35;03:14:58
Joel Lopez;BMW M2;23;05:23:17;06:01:21;10:29:01;05:57:54;03:35:21;09:57:58;13:59:21;07:12:10;06:09:34;04:32:56
Margot Laffite;Mazda 3;25;05:17:33;06:19:03;09:50:38;05:27:23;03:39:33;09:55:04;13:49:35;07:32:39;06:15:10;04:37:02
Nathanael Berthon;Audi A1 Quattro;21;05:27:10;05:48:01;10:30:56;05:11:53;03:24:49;09:26:47;14:30:54;06:43:34;06:24:51;04:01:04
Olivier Panis;Audi A1 Quattro;7;06:34:36;06:20:17;10:41:37;04:42:14;04:09:27;08:22:59;13:48:21;06:12:28;06:26:33;03:36:13
Olivier Pernaut;Mazda 3;27;06:29:52;05:36:53;10:30:29;05:29:30;04:12:56;08:36:34;14:02:06;06:39:29;06:57:47;03:52:19
Romain Grosjean;Renault Clio;3;07:14:47;05:28:13;11:48:41;02:54:37;04:39:12;07:42:46;13:44:48;06:21:40;06:34:03;03:28:19
Sylvain Pussier;Peugeot 3008 II;26;05:39:11;06:45:28;09:56:34;05:08:16;03:54:36;09:39:12;13:36:48;07:52:49;06:41:42;05:06:52
