Position,Prenom,Nom,Voiture,TempFinal,Etape 1,Etape 2,Etape 3,Etape 4,Etape 5,Etape 6,Etape 7,Etape 8,Etape 9,Etape 10,
1,Stephane,Peterhansel,Dacia Lodgy,49:20:43:500,6:40:59:250,3:49:38:250,10:25:10:500,1:19:50:250,4:9:17:250,5:48:54:750,7:31:17:250,3:24:43:500,3:40:27:0,2:30:25:500,
2,Toomas,Heikkinen,Renault Captur,52:31:0:800,6:55:27:200,4:9:4:0,10:27:9:600,0:53:49:600,5:41:0:800,5:51:32:0,8:9:31:200,4:11:13:600,3:26:22:400,2:45:50:400,
3,Sylvain,Pussier,Peugeot 3008 II,59:42:42:300,7:42:9:900,4:50:17:700,11:49:1:200,1:20:6:0,6:1:38:100,6:44:40:200,9:2:35:700,4:43:46:200,4:8:26:700,3:20:0:600,
4,Bertrand,Balas,Peugeot 3008 II,63:31:16:500,7:0:46:800,5:33:48:600,12:53:16:800,2:45:38:700,5:25:41:700,7:36:0:900,10:3:53:100,4:0:5:400,3:11:40:200,5:0:24:300,
5,Philippe,Wambergue,Renault Clio,65:44:11:0,8:44:13:0,4:53:43:0,13:8:55:0,1:16:43:0,6:40:52:0,7:30:44:0,10:16:41:0,4:52:51:0,4:36:20:0,3:43:9:0,
6,Jacques,Villeneuve,Renault Clio,66:24:27:0,8:57:43:0,5:11:44:0,13:6:16:0,1:15:7:0,6:25:35:0,7:10:26:0,10:17:25:0,5:6:28:0,4:53:55:0,3:59:48:0,
7,Jean-Luc,Richner,Mazda 3,66:33:46:0,8:28:11:0,5:52:53:0,13:27:51:0,1:33:23:0,6:15:28:0,7:4:35:0,10:29:35:0,4:53:57:0,4:49:4:0,3:38:49:0,
8,Olivier,Pernaut,Mazda 3,66:43:58:0,8:6:6:0,5:34:55:0,13:34:56:0,1:38:49:0,6:42:48:0,7:32:18:0,9:53:18:0,5:26:5:0,4:23:27:0,3:51:16:0,
9,Jean-Louis,Schlesser,Mazda 3,66:46:25:0,8:51:3:0,5:24:58:0,13:16:22:0,1:36:47:0,6:0:54:0,6:58:16:0,10:23:21:0,4:58:45:0,5:15:46:0,4:0:13:0,
10,Margot,Laffite,Mazda 3,68:53:43:0,8:50:58:0,5:30:24:0,14:4:30:0,1:39:17:0,6:35:55:0,7:24:19:0,10:40:5:0,4:29:59:0,4:57:32:0,4:40:44:0,
11,Jacques,Wolff,Mazda 3,69:5:50:0,9:8:1:0,5:10:14:0,14:26:25:0,2:1:0:0,5:59:54:0,7:45:18:0,10:38:0:0,4:32:12:0,4:13:33:0,5:11:13:0,
12,Didier,Thoral,Mazda 3,69:19:35:0,8:29:7:0,5:38:14:0,14:25:40:0,2:11:35:0,6:27:18:0,7:42:6:0,10:46:4:0,4:26:35:0,3:29:36:0,5:43:20:0,
13,Christophe,Jouet,Renault Clio,69:26:51:0,8:12:0:0,5:53:24:0,14:6:41:0,2:39:38:0,6:17:30:0,8:3:14:0,10:41:45:0,3:57:57:0,3:53:44:0,5:40:58:0,
14,Adrien,Tambay,Mazda 3,70:39:13:0,7:18:2:0,6:22:59:0,13:35:59:0,3:12:25:0,5:43:23:0,8:23:44:0,11:44:23:0,4:29:0:0,4:16:30:0,5:32:48:0,
15,Andrea,Dubourg,Renault Clio,71:10:32:0,7:45:5:0,6:28:31:0,14:1:14:0,2:49:16:0,5:53:38:0,8:38:40:0,11:45:30:0,4:4:16:0,3:47:22:0,5:57:0:0,
16,Jean-Pierre,Richelmi,Mini Countryman,71:55:19:100,9:18:53:500,6:5:57:100,14:46:0:800,1:35:21:100,6:33:41:400,8:5:32:400,11:18:43:100,4:51:6:900,5:14:27:200,4:5:35:600,
17,Jean-Philippe,Dayraut,BMW M2,78:35:43:698,10:1:39:648,6:17:41:900,16:40:13:900,2:9:37:450,7:14:2:900,8:49:16:100,11:42:45:900,4:38:50:200,5:10:31:150,5:51:4:550,
18,Gilles,Stievenart,BMW M2,79:6:19:94,10:13:46:448,5:52:33:100,16:26:15:548,2:0:19:700,7:20:31:600,9:1:2:200,11:57:44:48,5:29:46:900,4:19:13:750,6:25:5:800,
19,Gerald,Fontanel,BMW M2,79:31:54:348,10:10:22:900,6:5:32:800,16:55:21:248,2:26:4:150,7:26:14:300,8:39:16:950,12:6:4:300,5:3:16:450,4:22:32:700,6:17:8:550,
20,Olivier,Panis,Audi A1 Quattro,81:39:51:610,10:17:52:800,7:3:25:202,16:50:31:204,2:27:46:800,7:43:16:802,8:34:28:802,12:12:54:0,5:55:26:400,5:23:10:800,5:10:58:800,
21,Benoit,Treluyer,Audi A1 Quattro,86:1:38:417,8:52:40:802,7:19:55:202,17:3:56:404,3:55:56:401,7:1:40:802,10:42:10:800,14:0:2:404,5:1:7:200,4:49:24:0,7:14:44:402,
