Position,Prenom,Nom,Voiture,TempFinal,Etape 1,Etape 2,Etape 3,Etape 4,Etape 5,Etape 6,Etape 7,Etape 8,Etape 9,Etape 10,
1,Bertrand,Balas,Peugeot 3008 II,66:21:9:900,5:43:24:600,5:16:4:800,9:53:6:900,5:10:5:700,4:1:44:400,8:10:0:300,12:30:15:300,5:51:36:900,6:22:11:100,3:22:39:900,
2,Sylvain,Pussier,Peugeot 3008 II,66:55:19:200,5:5:15:900,6:4:55:200,8:56:54:600,4:37:26:400,3:31:8:400,8:41:16:800,12:15:7:200,7:5:32:100,6:1:31:800,4:36:10:800,
3,Franck,Lagorce,Mazda 3,69:31:54:0,6:49:3:0,5:46:44:0,11:19:56:0,3:23:21:0,4:33:17:0,7:38:22:0,13:32:54:0,6:18:1:0,6:23:4:0,3:47:12:0,
4,Romain,Grosjean,Renault Clio,69:57:6:0,7:14:47:0,5:28:13:0,11:48:41:0,2:54:37:0,4:39:12:0,7:42:46:0,13:44:48:0,6:21:40:0,6:34:3:0,3:28:19:0,
5,Adrien,Tambay,Mazda 3,70:8:49:0,6:55:52:0,6:3:12:0,10:57:29:0,3:46:54:0,4:40:37:0,7:54:46:0,13:19:57:0,6:33:55:0,6:12:16:0,3:43:51:0,
6,Andrea,Dubourg,Renault Clio,70:43:57:0,7:44:39:0,5:53:7:0,12:3:48:0,3:19:42:0,4:45:34:0,7:13:8:0,13:20:41:0,6:24:16:0,6:50:24:0,3:8:38:0,
7,Jacques,Wolff,Mazda 3,71:22:51:0,5:57:50:0,5:37:32:0,11:0:26:0,5:14:6:0,3:26:31:0,9:4:31:0,14:17:55:0,6:48:16:0,5:39:36:0,4:16:8:0,
8,Jean-Baptiste,Dubourg,Renault Clio,71:48:6:0,7:56:12:0,6:12:30:0,12:20:12:0,3:11:45:0,5:11:23:0,7:23:11:0,13:23:12:0,6:11:43:0,7:18:2:0,2:39:56:0,
9,Olivier,Pernaut,Mazda 3,72:27:55:0,6:29:52:0,5:36:53:0,10:30:29:0,5:29:30:0,4:12:56:0,8:36:34:0,14:2:6:0,6:39:29:0,6:57:47:0,3:52:19:0,
10,Margot,Laffite,Mazda 3,72:43:40:0,5:17:33:0,6:19:3:0,9:50:38:0,5:27:23:0,3:39:33:0,9:55:4:0,13:49:35:0,7:32:39:0,6:15:10:0,4:37:2:0,
11,Emmanuel,Moinel,Renault Clio,73:12:38:0,6:28:28:0,5:30:1:0,11:6:49:0,5:54:9:0,3:49:18:0,8:37:37:0,14:10:1:0,6:39:20:0,6:27:46:0,4:29:9:0,
12,Didier,Thoral,Mazda 3,73:36:3:0,6:16:34:0,5:52:45:0,11:29:24:0,5:32:20:0,3:40:0:0,8:56:31:0,14:39:14:0,7:2:19:0,6:4:25:0,4:2:31:0,
13,Christophe,Jouet,Renault Clio,73:39:14:0,6:6:50:0,5:50:45:0,11:9:32:0,6:7:7:0,4:4:13:0,8:44:0:0,14:9:9:0,6:30:34:0,6:44:48:0,4:12:16:0,
14,Benjamin,Riviere,Mini Countryman,77:25:15:800,7:17:27:100,6:51:2:0,12:10:40:500,4:42:27:700,5:4:11:200,8:53:15:700,14:56:10:200,7:12:58:700,6:35:8:300,3:41:54:400,
15,Dominique,Chianale,Mini Countryman,77:49:50:900,6:21:28:800,6:0:0:700,11:41:7:300,5:42:48:900,3:45:59:700,10:25:24:300,15:54:32:600,7:10:23:600,6:34:4:500,4:14:0:500,
16,Jean-Philippe,Dayraut,BMW M2,81:55:35:898,7:24:21:600,7:18:33:150,13:6:54:400,5:11:45:900,4:37:28:550,9:47:14:848,15:26:28:700,7:25:16:800,7:53:19:250,3:44:12:700,
17,Gerald,Fontanel,BMW M2,82:4:46:746,7:58:36:650,7:0:25:250,12:33:50:648,5:21:14:0,5:5:51:700,9:51:33:600,15:40:15:548,7:33:34:750,7:23:21:800,3:36:2:800,
18,Christian,Beroujon,BMW M2,82:23:30:296,8:20:34:550,7:26:5:100,11:59:57:448,5:21:25:500,5:3:44:50,9:41:55:148,16:4:25:700,7:35:20:550,7:21:25:650,3:28:36:600,
19,Gilles,Stievenart,BMW M2,82:43:15:946,7:48:50:150,6:53:33:550,11:52:3:648,5:51:33:300,5:23:38:900,9:27:52:200,16:7:12:448,7:28:48:400,7:46:51:700,4:2:51:650,
20,Eddy,Benezet,BMW M2,84:8:4:698,6:46:14:250,6:43:40:150,12:34:3:300,6:29:8:450,4:8:11:350,11:4:58:100,16:27:45:248,8:0:36:250,6:49:1:0,5:4:26:600,
21,Joel,Lopez,BMW M2,84:18:42:946,6:11:46:550,6:55:33:150,12:3:22:148,6:51:35:100,4:7:39:150,11:27:39:700,16:5:15:148,8:16:59:500,7:5:0:100,5:13:52:400,
22,Berenice,Demoustier,Audi A1 Quattro,84:33:22:810,6:43:34:800,6:51:20:400,12:27:21:600,6:2:6:0,3:42:20:401,11:48:2:400,17:27:48:4,7:52:26:402,7:7:37:202,4:30:45:601,
23,Benoit,Treluyer,Audi A1 Quattro,84:55:14:414,7:43:7:202,7:34:30:2,13:22:26:400,5:47:12:0,4:30:34:801,10:4:13:200,16:19:58:804,7:40:13:202,8:6:25:202,3:46:33:601,
24,Olivier,Panis,Audi A1 Quattro,85:5:42:13,7:53:31:202,7:36:20:402,12:49:56:400,5:38:40:800,4:59:20:400,10:3:34:800,16:34:1:204,7:26:57:602,7:43:51:602,4:19:27:601,
25,Nathanael,Berthon,Audi A1 Quattro,85:47:58:809,6:32:36:0,6:57:37:200,12:37:7:200,6:14:15:600,4:5:46:801,11:20:8:400,17:25:4:804,8:4:16:802,7:41:49:202,4:49:16:800,
