Position,Prenom,Nom,Voiture,TempFinal,Etape 1,Etape 2,Etape 3,Etape 4,Etape 5,Etape 6,Etape 7,Etape 8,Etape 9,Etape 10,
1,Jean-Luc,Richner,Mazda 3,-593:-58:-53:-280,76:13:39:8,52:55:56:992,121:10:39:8,14:0:27:0,56:19:12:0,63:41:15:8,94:26:15:8,44:5:32:992,43:21:36:0,32:49:21:0,
2,Olivier,Pernaut,Mazda 3,-592:-27:-5:-272,72:54:54:0,50:14:15:8,122:14:24:0,14:49:21:0,60:25:12:0,67:50:42:0,88:59:42:16,48:54:44:992,39:31:3:8,34:41:24:0,
3,Margot,Laffite,Mazda 3,-572:-59:-20:-280,79:38:41:984,49:33:36:0,126:40:30:16,14:53:33:0,59:23:15:8,66:38:51:8,96:0:44:992,40:29:51:8,44:37:48:0,42:6:36:0,
4,David,Bernard,Mazda 3,-571:-10:-17:-328,82:12:8:992,46:32:6:0,129:57:44:992,18:9:0:0,53:59:6:0,69:47:42:0,95:42:0:0,40:49:48:0,38:1:56:992,46:40:56:992,
5,Didier,Thoral,Mazda 3,-569:-6:-32:-280,76:22:3:8,50:44:6:0,129:51:0:0,19:44:15:0,58:5:42:0,69:18:54:0,96:54:36:0,39:59:15:8,31:26:24:0,51:30:0:0,
6,Adrien,Tambay,Mazda 3,-557:-9:-50:-264,65:42:18:0,57:26:51:8,122:23:51:8,28:51:45:0,51:30:27:8,75:33:36:0,105:39:27:8,40:21:0:0,38:28:30:0,49:55:12:0,
7,Andrea,Dubourg,Mazda 3,-552:-27:-59:-328,69:45:44:992,58:16:39:8,126:11:5:984,25:23:24:0,53:2:42:0,77:48:0:0,105:49:29:984,36:38:24:0,34:6:18:0,53:33:0:0,
8,Jean-Louis,Schlesser,BMW M2,-481:-34:-31:-203,596:31:23:647,395:22:33:984,596:31:23:647,117:45:11:8,439:5:42:16,508:53:27:936,596:31:23:647,363:28:45:56,384:10:58:48,292:15:48:992,
9,Jean-Philippe,Dayraut,BMW M2,-431:-46:-23:-299,596:31:23:647,399:35:37:984,596:31:23:647,137:8:19:8,459:12:38:16,559:57:1:952,596:31:23:647,295:0:3:968,328:31:13:24,371:25:40:992,
10,Gerald,Fontanel,BMW M2,-422:-13:-20:-131,596:31:23:647,386:44:16:0,596:31:23:647,154:32:12:992,472:6:26:48,549:23:9:56,596:31:23:647,320:51:19:40,277:45:53:984,399:0:20:992,
11,Gilles,Stievenart,BMW M2,-413:-16:-47:-299,596:31:23:647,372:59:21:984,596:31:23:647,127:18:14:16,466:3:51:936,572:24:3:968,596:31:23:647,348:53:58:16,274:15:24:992,407:25:16:32,
12,Jean-Pierre,Richelmi,Mini Countryman,-104:-4:-41:-697,469:7:48:992,307:10:39:488,596:31:23:647,80:2:15:392,330:27:39:648,407:33:33:696,569:42:43:456,244:21:36:640,263:57:0:800,206:8:58:432,
13,Bertrand,Balas,Peugeot 3008 II,-93:-5:-35:-616,-428:-34:-20:-32,-339:-59:-30:-48,-596:-31:-23:-648,-168:-42:-44:-992,-331:-43:-35:-40,-464:-27:-35:-40,-596:-31:-23:-648,-244:-32:-9:-984,-195:-13:-10:-16,-305:-58:-5:-56,
14,Sylvain,Pussier,Peugeot 3008 II,55:42:53:280,-470:-43:-25:-56,-295:-40:-14:-976,-596:-31:-23:-648,-81:-35:0:0,-368:-19:-55:-8,-412:-9:-49:-952,-552:-38:-35:-8,-289:-1:-29:-984,-253:-2:-44:-992,-203:-42:-49:-984,
15,Frederic,Amblard,Audi A1 Quattro,115:53:41:500,596:31:23:647,523:23:39:8,596:31:23:647,182:40:20:992,572:39:56:32,596:31:23:647,596:31:23:647,439:21:48:32,399:29:11:40,384:24:20:992,
16,Benoit,Treluyer,Audi A1 Quattro,237:55:25:500,596:31:23:647,543:47:24:32,596:31:23:647,291:38:52:992,521:14:36:32,596:31:23:647,596:31:23:647,372:13:4:0,357:43:50:16,537:23:13:24,
17,Toomas,Heikkinen,Renault Captur,318:12:34:304,-596:-31:-23:-648,-409:-55:-19:-936,-596:-31:-23:-648,-88:-35:-23:-8,-561:-15:-4:-64,-578:-33:-54:-944,-596:-31:-23:-648,-413:-28:-38:-16,-339:-39:-21:-984,-272:-56:-41:-984,
18,Philippe,Wambergue,Renault Clio,328:40:54:992,43:41:4:992,24:28:35:0,65:44:35:8,6:23:35:0,33:24:20:0,37:33:40:0,51:23:24:992,24:24:15:0,23:1:40:0,18:35:45:0,
19,Jacques,Villeneuve,Renault Clio,332:2:15:0,44:48:35:8,25:58:40:0,65:31:20:0,6:15:35:0,32:7:55:0,35:52:10:0,51:27:4:992,25:32:20:0,24:29:35:0,19:59:0:0,
20,Chantal,Soule-Dupuy,Renault Clio,347:14:14:984,41:0:0:0,29:27:0:0,70:33:24:992,13:18:10:0,31:27:30:0,40:16:10:0,53:28:44:992,19:49:45:0,19:28:40:0,28:24:50:0,
