Position,Prenom,Nom,Voiture,TempFinal,Etape 1,Etape 2,Etape 3,Etape 4,Etape 5,Etape 6,Etape 7,Etape 8,Etape 9,Etape 10,
1,Franck,Lagorce,Mazda 3,-567:-15:-41:-288,61:21:27:8,52:0:36:0,101:59:24:0,30:30:9:0,40:59:32:992,68:45:18:0,121:56:6:16,56:42:8:992,57:27:36:0,34:4:48:0,
2,Adrien,Tambay,Mazda 3,-561:-43:-26:-312,62:22:48:0,54:28:48:0,98:37:20:992,34:2:6:0,42:5:32:992,71:12:54:0,119:59:32:992,59:5:15:8,55:50:24:0,33:34:39:0,
3,Jacques,Wolff,Mazda 3,-550:-37:-8:-296,53:40:30:0,50:37:48:0,99:3:53:984,47:6:54:0,30:58:39:0,81:40:39:8,128:41:15:8,61:14:24:0,50:56:24:0,38:25:12:0,
4,Olivier,Pernaut,Mazda 3,-540:-51:-32:-312,58:28:48:0,50:31:56:992,94:34:20:992,49:25:30:0,37:56:24:0,77:29:5:984,126:18:54:16,59:55:20:992,62:40:3:8,34:50:51:0,
5,Margot,Laffite,Mazda 3,-538:-29:-47:-256,47:37:56:992,56:51:27:8,88:35:42:16,49:6:27:8,32:55:57:0,89:15:36:0,124:26:15:8,67:53:51:8,56:16:30:0,41:33:18:0,
6,Didier,Thoral,Mazda 3,-530:-38:-20:-312,56:29:6:0,52:54:44:992,103:24:36:0,49:51:0:0,33:0:0:0,80:28:39:8,131:53:5:984,63:20:51:8,54:39:44:992,36:22:39:0,
7,Sylvain,Pussier,Peugeot 3008 II,-358:-19:-41:-696,-310:-55:-4:-960,-371:-40:-40:-64,-546:-51:-9:-952,-282:-34:-40:0,-215:-2:-59:-968,-530:-56:0:0,-596:-31:-23:-648,-433:-24:-55:-40,-368:-13:-29:-984,-281:-17:-39:-968,
8,Bertrand,Balas,Peugeot 3008 II,-300:-33:0:-672,-349:-46:-10:-48,-321:-56:0:0,-596:-31:-23:-648,-315:-50:-15:-40,-246:-13:0:-32,-499:-4:-45:-56,-596:-31:-23:-648,-358:-7:-35:-40,-389:-15:-45:-24,-206:-25:-5:-24,
9,Jean-Philippe,Dayraut,BMW M2,-216:-3:-29:-347,470:7:12:0,463:58:32:960,596:31:23:647,329:50:17:984,293:33:40:992,596:31:23:647,596:31:23:647,471:5:36:0,500:45:34:976,237:12:33:984,
10,Gerald,Fontanel,BMW M2,-190:-30:-29:-187,506:21:22:944,444:47:35:40,596:31:23:647,339:51:20:64,323:35:34:16,596:31:23:647,596:31:23:647,479:52:24:960,469:3:56:32,228:34:16:0,
11,Eddy,Benezet,BMW M2,-188:-11:-47:-139,429:47:14:944,427:4:13:56,596:31:23:647,411:41:59:40,262:34:36:992,596:31:23:647,596:31:23:647,508:27:55:8,432:43:40:32,322:5:32:32,
12,Christian,Beroujon,BMW M2,-150:-12:-58:-243,529:35:41:56,471:56:41:984,596:31:23:647,340:3:30:48,321:20:30:976,596:31:23:647,596:31:23:647,481:44:20:992,467:1:2:976,220:42:11:968,
13,Joel,Lopez,BMW M2,-144:-40:-49:-155,393:19:41:56,439:38:32:960,596:31:23:647,435:26:42:48,262:0:33:24,596:31:23:647,596:31:23:647,525:48:9:984,449:38:21:952,332:4:8:64,
14,Gilles,Stievenart,BMW M2,-109:-1:-55:-139,496:0:52:992,437:32:1:24,596:31:23:647,371:56:6:16,342:24:38:16,596:31:23:647,596:31:23:647,474:49:28:64,493:55:34:16,256:56:22:976,
15,Dominique,Chianale,Mini Countryman,135:59:18:335,320:12:43:264,302:11:29:792,588:31:2:272,287:45:24:608,189:41:55:840,524:57:40:224,596:31:23:647,361:16:10:496,330:47:3:40,213:12:47:40,
16,Benjamin,Riviere,Mini Countryman,147:32:57:86,367:11:39:392,345:1:8:96,596:31:23:647,237:5:47:840,255:19:56:800,447:36:59:904,596:31:23:647,363:26:21:824,331:40:36:224,186:16:1:600,
17,Berenice,Demoustier,Audi A1 Quattro,194:24:42:877,498:52:11:8,508:27:42:976,596:31:23:647,447:35:45:24,274:50:12:992,596:31:23:647,596:31:23:647,583:59:18:16,528:35:9:56,334:41:22:48,
18,Nathanael,Berthon,Audi A1 Quattro,310:18:37:308,485:17:49:952,516:13:28:960,596:31:23:647,462:37:37:24,303:48:40:960,596:31:23:647,596:31:23:647,596:31:23:647,570:51:39:8,357:34:56:0,
19,Romain,Grosjean,Renault Clio,349:45:29:992,36:13:55:0,27:21:5:0,59:3:24:992,14:33:5:0,23:16:0:0,38:33:50:0,68:44:0:0,31:48:20:0,32:50:15:0,17:21:35:0,
20,Andrea,Dubourg,Renault Clio,353:39:45:0,38:43:15:8,29:25:35:0,60:19:0:0,16:38:30:0,23:47:50:0,36:5:40:0,66:43:24:992,32:1:20:0,34:12:0:0,15:43:10:0,
21,Jean-Baptiste,Dubourg,Renault Clio,359:0:30:0,39:41:0:0,31:2:30:0,61:41:0:0,15:58:45:0,25:56:55:0,36:55:55:0,66:56:0:0,30:58:35:0,36:30:10:0,13:19:40:0,
22,Benoit,Treluyer,Audi A1 Quattro,360:46:6:460,572:28:3:968,561:48:45:56,596:31:23:647,429:10:40:0,334:28:1:24,596:31:23:647,596:31:23:647,568:52:59:8,596:31:23:647,280:3:12:0,
23,Emmanuel,Moinel,Renault Clio,366:3:9:976,32:22:20:0,27:30:5:0,55:34:4:992,29:30:45:0,19:6:30:0,43:8:4:992,70:50:4:992,33:16:40:0,32:18:50:0,22:25:45:0,
24,Christophe,Jouet,Renault Clio,368:16:9:992,30:34:10:0,29:13:45:0,55:47:40:0,30:35:35:0,20:21:5:0,43:40:0:0,70:45:44:992,32:32:50:0,33:44:0:0,21:1:20:0,
